item_sku,rec_sku,category,rec_category
TMMS7,OC5A,Socket and Drive Tools,Job Specific Tools
TMMS7,RXS605B,Socket and Drive Tools,Wrenches
TMMS7,OXIM707SBK,Socket and Drive Tools,Wrenches
TMMS7,GA460B,Socket and Drive Tools,Job Specific Tools
TMMS7,BP40B,Socket and Drive Tools,"Hammers, Punches, and Chisels"
TMMS7,91ACP,Socket and Drive Tools,Pliers
TMMS7,SGD2BR,Socket and Drive Tools,"Screwdrivers, Nut Drivers & Keys"
TMMS7,SHD1R,Socket and Drive Tools,"Screwdrivers, Nut Drivers & Keys"
TMMS7,HBFE24,Socket and Drive Tools,"Hammers, Punches, and Chisels"
TMMS7,97ACF,Socket and Drive Tools,Pliers
FTX40E,BCS70A,Socket and Drive Tools,Job Specific Tools
FTX40E,AD12C,Socket and Drive Tools,Wrenches
FTX40E,AC58E,Socket and Drive Tools,Job Specific Tools
FTX40E,AW1020DK,Socket and Drive Tools,"Screwdrivers, Nut Drivers & Keys"
FTX40E,AWM140DK,Socket and Drive Tools,"Screwdrivers, Nut Drivers & Keys"
FTX40E,1210B,Socket and Drive Tools,"Hammers, Punches, and Chisels"
FTX40E,131A,Socket and Drive Tools,Job Specific Tools
FTX40E,PGP50,Socket and Drive Tools,Job Specific Tools
FTX40E,S9704KR,Socket and Drive Tools,Job Specific Tools
FTX40E,SR40K,Socket and Drive Tools,General Hand Tools
HBBD16,SEPPREATV,"Hammers, Punches, and Chisels",
HBBD16,SEPPROCORE1A,"Hammers, Punches, and Chisels",
HBBD16,VO806B,"Hammers, Punches, and Chisels",Wrenches
HBBD16,PK52A,"Hammers, Punches, and Chisels",General Hand Tools
HBBD16,DB121C,"Hammers, Punches, and Chisels",Power Tool Accessories
HBBD16,AT4124,"Hammers, Punches, and Chisels",Power Tool Accessories
HBBD16,TFM7530B,"Hammers, Punches, and Chisels",General Hand Tools
HBBD16,AD10C,"Hammers, Punches, and Chisels",Wrenches
HBBD16,AT4135,"Hammers, Punches, and Chisels",Power Tool Accessories
HBBD16,PTIM5,"Hammers, Punches, and Chisels",General Hand Tools
STMM5.5,FB303B,Socket and Drive Tools,General Hand Tools
STMM5.5,OFW3,Socket and Drive Tools,Job Specific Tools
STMM5.5,GF22,Socket and Drive Tools,Job Specific Tools
STMM5.5,AWCGT500,Socket and Drive Tools,"Screwdrivers, Nut Drivers & Keys"
STMM5.5,UIM225,Socket and Drive Tools,General Hand Tools
STMM5.5,PKNC150,Socket and Drive Tools,General Hand Tools
STMM5.5,SGDX60BR,Socket and Drive Tools,"Screwdrivers, Nut Drivers & Keys"
STMM5.5,PWCS7ACF,Socket and Drive Tools,Pliers
STMM5.5,SGASA204CR,Socket and Drive Tools,General Hand Tools
STMM5.5,LN46ACF,Socket and Drive Tools,Pliers
AWTEFTP11K,HBBD32,"Screwdrivers, Nut Drivers & Keys","Hammers, Punches, and Chisels"
AWTEFTP11K,47ACF,"Screwdrivers, Nut Drivers & Keys",Pliers
AWTEFTP11K,91ACP,"Screwdrivers, Nut Drivers & Keys",Pliers
AWTEFTP11K,ATECH2FR125B,"Screwdrivers, Nut Drivers & Keys",Electronic Torque Wrenches
AWTEFTP11K,FX1,"Screwdrivers, Nut Drivers & Keys",Socket and Drive Tools
AWTEFTP11K,PWCS7ACF,"Screwdrivers, Nut Drivers & Keys",Pliers
AWTEFTP11K,SIMM240,"Screwdrivers, Nut Drivers & Keys",Socket and Drive Tools
AWTEFTP11K,SIMM190,"Screwdrivers, Nut Drivers & Keys",Socket and Drive Tools
AWTEFTP11K,SIMM170,"Screwdrivers, Nut Drivers & Keys",Socket and Drive Tools
AWTEFTP11K,SPBS18AR,"Screwdrivers, Nut Drivers & Keys",General Hand Tools
TPMB25,SWM101A,General Hand Tools,Socket and Drive Tools
TPMB25,TWM29,General Hand Tools,Socket and Drive Tools
TPMB25,SWM261,General Hand Tools,Socket and Drive Tools
TPMB25,GAJ12A,General Hand Tools,Wrenches
TPMB25,BHS7A,General Hand Tools,"Screwdrivers, Nut Drivers & Keys"
TPMB25,340SSDP,General Hand Tools,"Screwdrivers, Nut Drivers & Keys"
TPMB25,10SSD,General Hand Tools,"Screwdrivers, Nut Drivers & Keys"
TPMB25,222AFSP,General Hand Tools,Socket and Drive Tools
TPMB25,OFW3,General Hand Tools,Job Specific Tools
TPMB25,SN25A,General Hand Tools,Socket and Drive Tools
TMR4R,R2022C,Socket and Drive Tools,Wrenches
TMR4R,R1618C,Socket and Drive Tools,Wrenches
TMR4R,R1214C,Socket and Drive Tools,Wrenches
TMR4R,PK53A,Socket and Drive Tools,General Hand Tools
TMR4R,AT4101,Socket and Drive Tools,Power Tool Accessories
TMR4R,HCP48BCF,Socket and Drive Tools,Job Specific Tools
TMR4R,SSDMR4BR,Socket and Drive Tools,"Screwdrivers, Nut Drivers & Keys"
TMR4R,EECT200,Socket and Drive Tools,Testing and Electronics
TMR4R,FADH12C,Socket and Drive Tools,Wrenches
