item_sku,rec_sku,category,rec_category
TMMS7,FXK6,Socket and Drive Tools,Socket and Drive Tools
TMMS7,FXK11,Socket and Drive Tools,Socket and Drive Tools
TMMS7,SIMM150A,Socket and Drive Tools,Socket and Drive Tools
TMMS7,TA3,Socket and Drive Tools,Socket and Drive Tools
TMMS7,212FSMSY,Socket and Drive Tools,Socket and Drive Tools
TMMS7,TMMS10,Socket and Drive Tools,Socket and Drive Tools
TMMS7,211FSSY,Socket and Drive Tools,Socket and Drive Tools
TMMS7,TMMS8,Socket and Drive Tools,Socket and Drive Tools
TMMS7,TMMS13,Socket and Drive Tools,Socket and Drive Tools
TMMS7,TMMS15,Socket and Drive Tools,Socket and Drive Tools
FTX40E,F80,Socket and Drive Tools,Socket and Drive Tools
FTX40E,T72,Socket and Drive Tools,Socket and Drive Tools
FTX40E,TMXK60,Socket and Drive Tools,Socket and Drive Tools
FTX40E,FHLF80A,Socket and Drive Tools,Socket and Drive Tools
FTX40E,FXK11,Socket and Drive Tools,Socket and Drive Tools
FTX40E,A2A,Socket and Drive Tools,Socket and Drive Tools
FTX40E,GFAT1E,Socket and Drive Tools,Socket and Drive Tools
FTX40E,SIMM200,Socket and Drive Tools,Socket and Drive Tools
FTX40E,SIMM230,Socket and Drive Tools,Socket and Drive Tools
FTX40E,SXK5,Socket and Drive Tools,Socket and Drive Tools
HBBD16,PPC4A,"Hammers, Punches, and Chisels","Hammers, Punches, and Chisels"
HBBD16,PPC816B,"Hammers, Punches, and Chisels","Hammers, Punches, and Chisels"
HBBD16,PPC206A,"Hammers, Punches, and Chisels","Hammers, Punches, and Chisels"
HBBD16,HBBD32,"Hammers, Punches, and Chisels","Hammers, Punches, and Chisels"
HBBD16,PPC1A,"Hammers, Punches, and Chisels","Hammers, Punches, and Chisels"
HBBD16,HBFE32,"Hammers, Punches, and Chisels","Hammers, Punches, and Chisels"
HBBD16,HBBD24,"Hammers, Punches, and Chisels","Hammers, Punches, and Chisels"
HBBD16,HBFE24,"Hammers, Punches, and Chisels","Hammers, Punches, and Chisels"
HBBD16,BP16B,"Hammers, Punches, and Chisels","Hammers, Punches, and Chisels"
HBBD16,PPC3A,"Hammers, Punches, and Chisels","Hammers, Punches, and Chisels"
STMM5.5,TMM10,Socket and Drive Tools,Socket and Drive Tools
STMM5.5,TMM8,Socket and Drive Tools,Socket and Drive Tools
STMM5.5,TMM7,Socket and Drive Tools,Socket and Drive Tools
STMM5.5,TMM13,Socket and Drive Tools,Socket and Drive Tools
STMM5.5,TMM5.5,Socket and Drive Tools,Socket and Drive Tools
STMM5.5,TMM12,Socket and Drive Tools,Socket and Drive Tools
STMM5.5,TMM14,Socket and Drive Tools,Socket and Drive Tools
STMM5.5,TMM11,Socket and Drive Tools,Socket and Drive Tools
STMM5.5,TMM6,Socket and Drive Tools,Socket and Drive Tools
STMM5.5,TMM9,Socket and Drive Tools,Socket and Drive Tools
AWTEFTP11K,SGD4BR,"Screwdrivers, Nut Drivers & Keys","Screwdrivers, Nut Drivers & Keys"
AWTEFTP11K,SGDP42IRBR,"Screwdrivers, Nut Drivers & Keys","Screwdrivers, Nut Drivers & Keys"
AWTEFTP11K,SGDP31IRBR,"Screwdrivers, Nut Drivers & Keys","Screwdrivers, Nut Drivers & Keys"
AWTEFTP11K,SGD6BR,"Screwdrivers, Nut Drivers & Keys","Screwdrivers, Nut Drivers & Keys"
AWTEFTP11K,SGD2BR,"Screwdrivers, Nut Drivers & Keys","Screwdrivers, Nut Drivers & Keys"
AWTEFTP11K,SGD8BR,"Screwdrivers, Nut Drivers & Keys","Screwdrivers, Nut Drivers & Keys"
AWTEFTP11K,SGDP63IRBR,"Screwdrivers, Nut Drivers & Keys","Screwdrivers, Nut Drivers & Keys"
AWTEFTP11K,SHDX80R,"Screwdrivers, Nut Drivers & Keys","Screwdrivers, Nut Drivers & Keys"
AWTEFTP11K,SHDP63IRR,"Screwdrivers, Nut Drivers & Keys","Screwdrivers, Nut Drivers & Keys"
AWTEFTP11K,SGDMRC11A,"Screwdrivers, Nut Drivers & Keys","Screwdrivers, Nut Drivers & Keys"
TPMB25,SPBS18AR,General Hand Tools,General Hand Tools
TPMB25,SGASA204CR,General Hand Tools,General Hand Tools
TPMB25,SPBS8AR,General Hand Tools,General Hand Tools
TPMB25,RTD48,General Hand Tools,General Hand Tools
TPMB25,CSA8CR,General Hand Tools,General Hand Tools
TPMB25,GA295,General Hand Tools,General Hand Tools
TPMB25,2050,General Hand Tools,General Hand Tools
TPMB25,HSG319,General Hand Tools,General Hand Tools
TPMB25,SG4ASHBR,General Hand Tools,General Hand Tools
TPMB25,650,General Hand Tools,General Hand Tools
TMR4R,GFAT1E,Socket and Drive Tools,Socket and Drive Tools
TMR4R,206AFXW,Socket and Drive Tools,Socket and Drive Tools
TMR4R,STMD6,Socket and Drive Tools,Socket and Drive Tools
TMR4R,STMD7,Socket and Drive Tools,Socket and Drive Tools
TMR4R,TTX20E,Socket and Drive Tools,Socket and Drive Tools
TMR4R,TTX25E,Socket and Drive Tools,Socket and Drive Tools
TMR4R,TTX15E,Socket and Drive Tools,Socket and Drive Tools
TMR4R,TTX10E,Socket and Drive Tools,Socket and Drive Tools
TMR4R,TTX8E,Socket and Drive Tools,Socket and Drive Tools
TMR4R,TMUS141A,Socket and Drive Tools,Socket and Drive Tools
TMXM114,FXK6,Socket and Drive Tools,Socket and Drive Tools
TMXM114,T72,Socket and Drive Tools,Socket and Drive Tools
TMXM114,FHLF80A,Socket and Drive Tools,Socket and Drive Tools
TMXM114,A2A,Socket and Drive Tools,Socket and Drive Tools
TMXM114,FX1,Socket and Drive Tools,Socket and Drive Tools
TMXM114,TMU8B,Socket and Drive Tools,Socket and Drive Tools
TMXM114,GSAF1F,Socket and Drive Tools,Socket and Drive Tools
TMXM114,TA3,Socket and Drive Tools,Socket and Drive Tools
TMXM114,SIMM100A,Socket and Drive Tools,Socket and Drive Tools
TMXM114,IP80D,Socket and Drive Tools,Socket and Drive Tools
IPDLM17A,FHLLF80,Socket and Drive Tools,Socket and Drive Tools
IPDLM17A,IPLM19C,Socket and Drive Tools,Socket and Drive Tools
IPDLM17A,IPLM21C,Socket and Drive Tools,Socket and Drive Tools
IPDLM17A,IPLM17C,Socket and Drive Tools,Socket and Drive Tools
IPDLM17A,IPLM24C,Socket and Drive Tools,Socket and Drive Tools
IPDLM17A,IPLM18C,Socket and Drive Tools,Socket and Drive Tools
IPDLM17A,IPLM14C,Socket and Drive Tools,Socket and Drive Tools
IPDLM17A,IPLM15C,Socket and Drive Tools,Socket and Drive Tools
IPDLM17A,TLLF72,Socket and Drive Tools,Socket and Drive Tools
IPDLM17A,207IPSFM,Socket and Drive Tools,Socket and Drive Tools
R404,SGA173BR,Job Specific Tools,Job Specific Tools
R404,S9706KRA,Job Specific Tools,Job Specific Tools
R404,LSR1000EXT,Job Specific Tools,Job Specific Tools
R404,SGA175BR,Job Specific Tools,Job Specific Tools
R404,SGA1712BR,Job Specific Tools,Job Specific Tools
R404,BTCP500,Job Specific Tools,Job Specific Tools
R404,SVTS272A,Job Specific Tools,Job Specific Tools
R404,SHCP1B,Job Specific Tools,Job Specific Tools
R404,LSR1580,Job Specific Tools,Job Specific Tools
R404,BTG9,Job Specific Tools,Job Specific Tools
SR80A,SIMM180,Socket and Drive Tools,Socket and Drive Tools
SR80A,SIMM150A,Socket and Drive Tools,Socket and Drive Tools
SR80A,SIMM200,Socket and Drive Tools,Socket and Drive Tools
SR80A,SIMM130A,Socket and Drive Tools,Socket and Drive Tools
SR80A,211SFY,Socket and Drive Tools,Socket and Drive Tools
SR80A,SF80A,Socket and Drive Tools,Socket and Drive Tools
SR80A,FF80A,Socket and Drive Tools,Socket and Drive Tools
SR80A,313TSYA,Socket and Drive Tools,Socket and Drive Tools
SR80A,TR72,Socket and Drive Tools,Socket and Drive Tools
SR80A,313SWYA,Socket and Drive Tools,Socket and Drive Tools
SFSM11,F80,Socket and Drive Tools,Socket and Drive Tools
SFSM11,TMXK60,Socket and Drive Tools,Socket and Drive Tools
SFSM11,SIMM210,Socket and Drive Tools,Socket and Drive Tools
SFSM11,SIMM150A,Socket and Drive Tools,Socket and Drive Tools
SFSM11,212FSMY,Socket and Drive Tools,Socket and Drive Tools
SFSM11,IMM200,Socket and Drive Tools,Socket and Drive Tools
SFSM11,SFSM14,Socket and Drive Tools,Socket and Drive Tools
SFSM11,SFSM19,Socket and Drive Tools,Socket and Drive Tools
